//Para crear la tabla de tipos
//tipo "0" = Fuego; tipo "1" = Agua; tipo "2" = Planta; tipo "3" = Normal;
//tipo "4" = Fantasma; tipo "5" = hielo; tipo "6" = lucha; tipo "7" = tierra;
//Fuego
//La estructura que sigue es: tipo atacante, tipo atacado y efectividad
0,0,1.0
0,1,0.5
0,2,2.0
0,3,1.0
0,4,1.0
0,5,2.0
0,5,1.0
0,7,0.5
//Agua
1,0,2.0
1,1,1.0
1,2,0.5
1,3,1.0
1,4,1.0
1,5,1.0
1,6,1.0
1,7,2.0
//Planta
2,0,0.5
2,1,2.0
2,2,1.0
2,3,1.0
2,4,1.0
2,5,1.0
2,6,1.0
2,7,2.0
//Normal
3,0,1.0
3,1,1.0
3,2,1.0
3,3,1.0
3,4,0.2
3,5,1.0
3,6,1.0
3,7,1.0
//Fantasma
4,0,1.0
4,1,1.0
4,2,1.0
4,3,0.2
4,4,2.0
4,5,1.0
4,6,1.0
4,7,1.0
//Hielo
5,0,0.5
5,1,0.5
5,2,2.0
5,3,1.0
5,4,1.0
5,5,0.5
5,6,1.0
5,7,2.0
//Lucha
6,0,1.0
6,1,1.0
6,2,1.0
6,3,2.0
6,4,0.2
6,5,2.0
6,6,1.0
6,7,1.0
//Tierra
7,0,2.0
7,1,1.0
7,2,0.5
7,3,1.0
7,4,1.0
7,5,1.0
7,6,2.0
7,7,1.0
